2314 3000000
F 51 53
K 38 38
O 36 18
F 47 20
K 3 63
F 45 49
K 39 29
F 48 61
O 36 32
F 50 9
O 13 20
O 50 13
F 10 97
K 41 24
F 36 14
F 36 77
O 59 3
F 21 99
K 12 61
F 18 6
K 29 35
O 31 17
K 48 98
K 34 97
K 11 70
K 10 60
K 43 60
O 59 32
K 31 83
O 45 99
F 48 48
K 35 13
F 58 14
K 9 84
F 6 100
K 28 99
O 17 68
K 28 46
O 28 70
O 24 94
F 50 55
F 27 12
K 1 50
O 27 3
K 17 66
F 36 20
K 59 48
F 15 46
O 48 67
K 38 95
F 41 12
F 26 24
F 12 70
O 7 3
K 49 34
O 58 88
K 3 79
O 7 69
K 57 79
K 5 73
O 48 27
K 28 26
K 24 26
F 18 73
F 12 35
O 37 72
O 52 42
K 52 48
O 35 30
K 50 77
F 47 80
O 8 49
O 52 14
K 18 100
O 32 4
F 8 45
F 9 30
F 46 14
F 45 7
F 6 13
O 10 2
F 41 2
K 34 1
F 18 39
F 43 17
F 57 34
O 17 40
K 46 96
K 43 92
O 6 24
F 28 77
K 45 4
F 56 6
K 26 49
F 54 21
F 57 43
K 31 26
K 8 82
O 44 19
F 10 26
F 21 44
F 18 6
K 55 82
O 58 80
O 58 29
K 16 15
O 41 97
K 31 50
O 43 91
K 13 85
F 9 98
F 25 13
K 12 66
F 38 76
K 9 8
O 10 39
F 32 87
K 30 95
F 26 44
K 10 48
K 35 68
K 41 28
F 57 18
K 56 21
O 16 96
F 31 51
F 18 54
K 16 11
K 28 33
F 9 68
K 14 95
F 1 27
F 29 47
K 52 54
F 58 69
O 42 1
O 17 24
F 37 65
O 17 54
F 20 96
O 38 64
O 56 1
K 16 22
F 13 62
O 41 89
F 15 22
F 45 85
F 12 16
O 6 37
F 24 34
K 8 57
F 6 21
O 22 31
F 8 25
K 49 69
O 13 8
F 50 85
F 26 34
K 36 54
O 37 18
F 10 24
O 16 60
F 37 95
O 29 34
K 43 18
O 55 21
K 10 80
F 56 59
O 32 11
O 51 31
F 51 91
K 48 78
K 18 34
O 30 32
F 58 72
F 10 88
O 44 68
F 49 58
F 53 86
O 23 31
